keyLength,forkType,pad,fileID,startBlock,extent0/startBlock,extent0/blockCount,extent1/startBlock,extent1/blockCount,extent2/startBlock,extent2/blockCount,extent3/startBlock,extent3/blockCount,extent4/startBlock,extent4/blockCount,extent5/startBlock,extent5/blockCount,extent6/startBlock,extent6/blockCount,extent7/startBlock,extent7/blockCount,
10,0,0,1196331,200,7283857,1,7283862,2,7283891,1,7283927,1,7283930,1,7283961,1,655360,1196331,209,7283968,
10,0,0,1196331,209,7284045,1,7284427,7,7284437,1,7284511,1,7284513,7,7284527,2,655360,1196331,231,7284538,
10,0,0,1196331,231,7284572,1,7284578,3,7284591,1,7284593,1,7284621,1,7284662,1,655360,1196331,246,7284676,
10,0,0,1196331,246,7285951,1,7285957,1,7286008,1,7286013,1,7286241,1,7286289,2,655360,1196331,255,7286414,
10,0,0,1196331,255,7286761,1,7286802,2,7286814,1,7286819,1,7286844,5,7286851,1,655360,1196331,268,7286860,
10,0,0,1196331,268,7286976,1,7286989,1,7286998,3,7287007,5,7287018,1,7287024,1,655360,1196331,282,7287033,
10,0,0,1196331,282,7287044,1,7287046,3,7287066,2,7287069,2,7287085,1,7287088,1,655360,1196331,296,7287092,
10,0,0,1196331,296,7287132,4,7287137,2,7287154,1,7287158,3,7287197,2,7287228,2,655360,1196331,312,7287291,
10,0,0,1196331,312,7287361,2,7287365,1,7287385,1,7287387,1,7287446,4,7287474,1,655360,1196331,325,7287518,
10,0,0,1196331,325,7287542,2,7287655,2,7287694,1,7287696,2,7287918,1,7288047,1,655360,1196331,338,7288053,
10,0,0,1196331,338,7288229,2,7288251,2,7288257,5,7288286,2,7288290,1,7288294,4,655360,1196331,356,7288299,
10,0,0,1196331,356,7288365,3,7288382,2,7288405,1,7288407,1,7288410,3,7288418,2,655360,1196331,373,7288421,
10,0,0,1196331,373,7288443,2,7288447,1,7288521,1,7288542,1,7288635,1,7288968,1,655360,1196331,382,7289000,
10,0,0,1196331,382,7289131,1,7289145,1,7289151,3,7289165,1,7289167,1,7289169,1,655360,1196331,392,7289190,
