keyLength,parentID,nodeName,recordType,flags,reserved1,fileID,createDate,contentModDate,attributeModDate,accessDate,backupDate,permissions,userInfo,finderInfo,textEncoding,reserved2,dataFork,resourceFork,valence,folderID,reserved,
28,8128395,Catalog.csv,2,130,0,8128396,3507213030,3507213263,3507213263,3507213063,0,BSDInfo(ownerID=0  groupID=20  adminFlags=0  ownerFlags=0  fileMode=33188  special=1),FileInfo(fileType=0  fileCreator=0  finderFlags=0  location=Point(v=0  h=0)  reservedField=0),ExtendedFileInfo(reserved1=(0  0  21734  8806)  extendedFinderFlags=0  reserved2=0  putAwayFolderID=22045),0,0,ForkData(logicalSize=90291699  clumpSize=0  totalBlocks=22044  extents=ExtentsDataRec(extent0=ExtentDescriptor(startBlock=36893477  blockCount=2305)  extent1=ExtentDescriptor(startBlock=36895819  blockCount=80)  extent2=ExtentDescriptor(startBlock=36959021  blockCount=2737)  extent3=ExtentDescriptor(startBlock=37110094  blockCount=2049)  extent4=ExtentDescriptor(startBlock=37199995  blockCount=14873)  extent5=ExtentDescriptor(startBlock=0  blockCount=0)  extent6=ExtentDescriptor(startBlock=0  blockCount=0)  extent7=ExtentDescriptor(startBlock=0  blockCount=0))),ForkData(logicalSize=0  clumpSize=0  totalBlocks=0  extents=ExtentsDataRec(extent0=ExtentDescriptor(startBlock=0  blockCount=0)  extent1=ExtentDescriptor(startBlock=0  blockCount=0)  extent2=ExtentDescriptor(startBlock=0  blockCount=0)  extent3=ExtentDescriptor(startBlock=0  blockCount=0)  extent4=ExtentDescriptor(startBlock=0  blockCount=0)  extent5=ExtentDescriptor(startBlock=0  blockCount=0)  extent6=ExtentDescriptor(startBlock=0  blockCount=0)  extent7=ExtentDescriptor(startBlock=0  blockCount=0))),,,,
28,8128395,Extents.csv,2,130,0,8128397,3507213030,3507213263,3507213263,3507213049,0,BSDInfo(ownerID=0  groupID=20  adminFlags=0  ownerFlags=0  fileMode=33188  special=1),FileInfo(fileType=0  fileCreator=0  finderFlags=0  location=Point(v=0  h=0)  reservedField=0),ExtendedFileInfo(reserved1=(0  0  21734  8806)  extendedFinderFlags=0  reserved2=0  putAwayFolderID=103),0,0,ForkData(logicalSize=416236  clumpSize=0  totalBlocks=102  extents=ExtentsDataRec(extent0=ExtentDescriptor(startBlock=36895802  blockCount=17)  extent1=ExtentDescriptor(startBlock=36895918  blockCount=10)  extent2=ExtentDescriptor(startBlock=36909708  blockCount=15)  extent3=ExtentDescriptor(startBlock=36909748  blockCount=10)  extent4=ExtentDescriptor(startBlock=36909785  blockCount=10)  extent5=ExtentDescriptor(startBlock=36961758  blockCount=11)  extent6=ExtentDescriptor(startBlock=36961897  blockCount=14)  extent7=ExtentDescriptor(startBlock=36994918  blockCount=15))),ForkData(logicalSize=0  clumpSize=0  totalBlocks=0  extents=ExtentsDataRec(extent0=ExtentDescriptor(startBlock=0  blockCount=0)  extent1=ExtentDescriptor(startBlock=0  blockCount=0)  extent2=ExtentDescriptor(startBlock=0  blockCount=0)  extent3=ExtentDescriptor(startBlock=0  blockCount=0)  extent4=ExtentDescriptor(startBlock=0  blockCount=0)  extent5=ExtentDescriptor(startBlock=0  blockCount=0)  extent6=ExtentDescriptor(startBlock=0  blockCount=0)  extent7=ExtentDescriptor(startBlock=0  blockCount=0))),,,,
26,8128395,sqlite3.db,2,130,0,8128504,3507213263,3507213263,3507213263,3507213263,0,BSDInfo(ownerID=0  groupID=20  adminFlags=0  ownerFlags=0  fileMode=33188  special=1),FileInfo(fileType=0  fileCreator=0  finderFlags=0  location=Point(v=0  h=0)  reservedField=0),ExtendedFileInfo(reserved1=(0  0  21734  9039)  extendedFinderFlags=0  reserved2=0  putAwayFolderID=1),0,0,ForkData(logicalSize=0  clumpSize=0  totalBlocks=0  extents=ExtentsDataRec(extent0=ExtentDescriptor(startBlock=0  blockCount=0)  extent1=ExtentDescriptor(startBlock=0  blockCount=0)  extent2=ExtentDescriptor(startBlock=0  blockCount=0)  extent3=ExtentDescriptor(startBlock=0  blockCount=0)  extent4=ExtentDescriptor(startBlock=0  blockCount=0)  extent5=ExtentDescriptor(startBlock=0  blockCount=0)  extent6=ExtentDescriptor(startBlock=0  blockCount=0)  extent7=ExtentDescriptor(startBlock=0  blockCount=0))),ForkData(logicalSize=0  clumpSize=0  totalBlocks=0  extents=ExtentsDataRec(extent0=ExtentDescriptor(startBlock=0  blockCount=0)  extent1=ExtentDescriptor(startBlock=0  blockCount=0)  extent2=ExtentDescriptor(startBlock=0  blockCount=0)  extent3=ExtentDescriptor(startBlock=0  blockCount=0)  extent4=ExtentDescriptor(startBlock=0  blockCount=0)  extent5=ExtentDescriptor(startBlock=0  blockCount=0)  extent6=ExtentDescriptor(startBlock=0  blockCount=0)  extent7=ExtentDescriptor(startBlock=0  blockCount=0))),,,,
,8128395,Catalog.csv,4,,,8128396,,,,,,,,,,,,,,,0,
,8128395,Extents.csv,4,,,8128397,,,,,,,,,,,,,,,0,
,8128395,Attributes.csv,4,,,8128398,,,,,,,,,,,,,,,0,
,8128395,sqlite3.db,4,,,8128504,,,,,,,,,,,,,,,0,
,405341,com.apple.HIToolbox.plist,4,,,8128544,,,,,,,,,,,,,,,0,
,18,temp8128559,4,,,8128559,,,,,,,,,,,,,,,0,
,8118900,result2015-02-20-030001,3,,,,,,,,,,,,,,,,,8128582,0,
