offset,treeDepth,rootNode,leafRecords,firstLeafNode,lastLeafNode,nodeSize,maxKeyLength,totalNodes,freeNodes,reserved1,clumpSize,btreeType,keyCompareType,attributes,
7232512,4,26201,3104310,28056,40832,8192,516,131072,40547,0,268435456,0,207,6,
7408640,4,26201,3104310,28056,40832,8192,516,131072,40547,0,268435456,0,207,6,
7646208,4,26201,3104310,28056,40832,8192,516,131072,40547,0,268435456,0,207,6,
8084480,4,26201,3104310,28056,40832,8192,516,131072,40547,0,268435456,0,207,6,
8420352,4,26201,3104310,28056,40832,8192,516,131072,40547,0,268435456,0,207,6,
8752128,4,26201,3104306,28056,40832,8192,516,131072,40547,0,268435456,0,207,6,
9096192,4,26201,3104306,28056,40832,8192,516,131072,40547,0,268435456,0,207,6,
9546752,4,26201,3104306,28056,40832,8192,516,131072,40547,0,268435456,0,207,6,
9825280,4,26201,3104306,28056,40832,8192,516,131072,40547,0,268435456,0,207,6,
10202112,4,26201,3104310,28056,40832,8192,516,131072,40547,0,268435456,0,207,6,
10382336,4,26201,3104310,28056,40832,8192,516,131072,40547,0,268435456,0,207,6,
130560,4,26201,3104320,28056,40832,8192,516,131072,40547,0,268435456,0,207,6,
474624,4,26201,3104316,28056,40832,8192,516,131072,40546,0,268435456,0,207,6,
1322496,4,26201,3104316,28056,40832,8192,516,131072,40546,0,268435456,0,207,6,
1707520,4,26201,3104312,28056,40832,8192,516,131072,40546,0,268435456,0,207,6,
1998336,4,26201,3104312,28056,40832,8192,516,131072,40546,0,268435456,0,207,6,
2416128,4,26201,3104312,28056,40832,8192,516,131072,40546,0,268435456,0,207,6,
2756096,4,26201,3104326,28056,40832,8192,516,131072,40546,0,268435456,0,207,6,
3202560,4,26201,3104328,28056,40832,8192,516,131072,40546,0,268435456,0,207,6,
3542528,4,26201,3104338,28056,40832,8192,516,131072,40546,0,268435456,0,207,6,
3976704,4,26201,3104338,28056,40832,8192,516,131072,40546,0,268435456,0,207,6,
4161024,4,26201,3104338,28056,40832,8192,516,131072,40546,0,268435456,0,207,6,
4374016,4,26201,3104338,28056,40832,8192,516,131072,40546,0,268435456,0,207,6,
4587008,4,26201,3104338,28056,40832,8192,516,131072,40546,0,268435456,0,207,6,
4902400,4,26201,3104338,28056,40832,8192,516,131072,40546,0,268435456,0,207,6,
5176832,4,26201,3104338,28056,40832,8192,516,131072,40546,0,268435456,0,207,6,
5451264,4,26201,3104338,28056,40832,8192,516,131072,40546,0,268435456,0,207,6,
5733888,4,26201,3104338,28056,40832,8192,516,131072,40546,0,268435456,0,207,6,
6368768,4,26201,3104340,28056,40832,8192,516,131072,40546,0,268435456,0,207,6,
