offset,treeDepth,rootNode,leafRecords,firstLeafNode,lastLeafNode,nodeSize,maxKeyLength,totalNodes,freeNodes,reserved1,clumpSize,btreeType,keyCompareType,attributes,
4751872,4,22947,634873,28682,3201,8192,266,98304,28616,0,268435456,0,0,6,
6083072,4,22947,634873,28682,3201,8192,266,98304,28616,0,268435456,0,0,6,
9019904,4,22947,634873,28682,3201,8192,266,98304,28616,0,268435456,0,0,6,
529408,4,22947,634873,28682,3201,8192,266,98304,28616,0,268435456,0,0,6,
775168,4,22947,634873,28682,3201,8192,266,98304,28616,0,268435456,0,0,6,
1049600,4,22947,634873,28682,3201,8192,266,98304,28616,0,268435456,0,0,6,
1528832,4,22947,634873,28682,3201,8192,266,98304,28616,0,268435456,0,0,6,
1811456,4,22947,634873,28682,3201,8192,266,98304,28616,0,268435456,0,0,6,
2282496,4,22947,634873,28682,3201,8192,266,98304,28616,0,268435456,0,0,6,
2700288,4,22947,634873,28682,3201,8192,266,98304,28616,0,268435456,0,0,6,
3019776,4,22947,634873,28682,3201,8192,266,98304,28616,0,268435456,0,0,6,
3400704,4,22947,634873,28682,3201,8192,266,98304,28616,0,268435456,0,0,6,
3695616,4,22947,634873,28682,3201,8192,266,98304,28616,0,268435456,0,0,6,
