offset,keyLength,pad,fileID,startBlock,attrNameLen,attrName,nodeNumber,
2339854,46,0,9111441,0,17,com.apple.decmpfs,70443,
2339906,46,0,9111446,0,17,com.apple.decmpfs,70442,
2339958,46,0,9111466,0,17,com.apple.decmpfs,70445,
2340010,46,0,9111476,0,17,com.apple.decmpfs,70446,
2340062,46,0,9111519,0,17,com.apple.decmpfs,862,
2340114,52,0,9114475,0,20,com.apple.quarantine,872,
2340172,52,0,9115019,0,20,com.apple.quarantine,888,
2340230,52,0,9115792,0,20,com.apple.quarantine,912,
2340288,52,0,9116376,0,20,com.apple.quarantine,929,
2340346,46,0,9124282,0,17,com.apple.decmpfs,938,
2340398,52,0,9125785,0,20,com.apple.quarantine,955,
2340456,52,0,9126052,0,20,com.apple.quarantine,995,
2340514,52,0,9126901,0,20,com.apple.quarantine,1047,
2340572,52,0,9127715,0,20,com.apple.quarantine,1056,
2340630,52,0,9128161,0,20,com.apple.quarantine,1091,
2340688,52,0,9128874,0,20,com.apple.quarantine,786,
2340746,52,0,9130381,0,20,com.apple.quarantine,1473,
2340804,52,0,9131677,0,20,com.apple.quarantine,1784,
2340862,52,0,9132177,0,20,com.apple.quarantine,1138,
2340920,62,0,9132463,0,25,com.apple.system.Security,1785,
2340988,52,0,9132775,0,20,com.apple.quarantine,1786,
2341046,52,0,9135493,0,20,com.apple.quarantine,1792,
2341104,52,0,9137185,0,20,com.apple.quarantine,1903,
2341162,52,0,9138706,0,20,com.apple.quarantine,2121,
2341220,52,0,9140351,0,20,com.apple.quarantine,2122,
2341278,52,0,9143967,0,20,com.apple.quarantine,2207,
2341336,52,0,9144695,0,20,com.apple.quarantine,2225,
2341394,52,0,9145889,0,20,com.apple.quarantine,2230,
2341452,52,0,9147250,0,20,com.apple.quarantine,2237,
2341510,52,0,9147922,0,20,com.apple.quarantine,2243,
2341568,52,0,9149145,0,20,com.apple.quarantine,2247,
2341626,52,0,9149712,0,20,com.apple.quarantine,2254,
2341684,52,0,9150372,0,20,com.apple.quarantine,2244,
2341742,52,0,9150530,0,20,com.apple.quarantine,2262,
2341800,52,0,9150927,0,20,com.apple.quarantine,2269,
2341858,52,0,9151062,0,20,com.apple.quarantine,2273,
2341916,52,0,9151778,0,20,com.apple.quarantine,2280,
2341974,52,0,9151903,0,20,com.apple.quarantine,2287,
2342032,52,0,9152641,0,20,com.apple.quarantine,2294,
2342090,52,0,9153439,0,20,com.apple.quarantine,2301,
2342148,52,0,9154786,0,20,com.apple.quarantine,2308,
2342206,52,0,9159325,0,20,com.apple.quarantine,1472,
2342264,52,0,9162931,0,20,com.apple.quarantine,2315,
2342322,52,0,9165230,0,20,com.apple.quarantine,2324,
2342380,52,0,9165943,0,20,com.apple.quarantine,2827,
2342438,52,0,9167545,0,20,com.apple.quarantine,3194,
2342496,52,0,9176821,0,20,com.apple.quarantine,1108,
2342554,52,0,9181569,0,20,com.apple.quarantine,3196,
2342612,52,0,9182329,0,20,com.apple.quarantine,3193,
2342670,52,0,9182942,0,20,com.apple.quarantine,3198,
2342728,52,0,9183114,0,20,com.apple.quarantine,3197,
2342786,52,0,9183587,0,20,com.apple.quarantine,3199,
2342844,52,0,9184140,0,20,com.apple.quarantine,3200,
2342902,52,0,9184846,0,20,com.apple.quarantine,3202,
2342960,52,0,9185864,0,20,com.apple.quarantine,82,
2343018,46,0,9186704,0,17,com.apple.decmpfs,1030,
2343070,52,0,9191979,0,20,com.apple.quarantine,3203,
2343128,52,0,9475021,0,20,com.apple.quarantine,3204,
2343186,82,0,9475214,0,35,com.apple.iwork.documentUUID.synced,3205,
2343274,52,0,9477521,0,20,com.apple.quarantine,3207,
2343332,52,0,9477877,0,20,com.apple.quarantine,3195,
2343390,52,0,9517896,0,20,com.apple.quarantine,3208,
2343448,52,0,9522249,0,20,com.apple.quarantine,3209,
2343506,52,0,9523098,0,20,com.apple.quarantine,196,
2343564,82,0,9524686,0,35,com.apple.iwork.documentUUID.synced,180,
2343652,52,0,9525891,0,20,com.apple.quarantine,705,
2343710,84,0,9529716,0,36,com.apple.metadata:kMDItemWhereFroms,4233,
2343800,98,0,9529734,0,43,com.apple.metadata:kMDItemScreenCaptureType,3830,
2343904,52,0,9529787,0,20,com.apple.quarantine,4201,
2343962,52,0,9529891,0,20,com.apple.quarantine,4232,
2344020,52,0,9529972,0,20,com.apple.quarantine,4935,
2344078,46,0,9532593,0,17,com.apple.decmpfs,4937,
2344130,56,0,9567865,0,22,com.apple.TextEncoding,4938,
2344192,46,0,9568337,0,17,com.apple.decmpfs,4939,
2344244,52,0,9639910,0,20,com.apple.quarantine,3201,
